Tile#	Description	Walkable?
#################################
1	Grass		Y
2	Concrete	Y	
4	FlowerBlue	Y
5	FlowerRed	Y
6	WoodenFloor	Y
7	Road		Y
8	StormDrain	Y
9	Grass2		Y
10	Grass3		Y
11	SmallBush	Y
12	LargeBush	Y
13	BlueFlower	Y
14	RedFlower	Y
15	ConcreteLTC	Y
16	ConcreteRTC	Y
17	ConcreteLBC	Y
18	ConcreteRBC	Y
19	ConcreteB	Y
20	ConcreteL	Y
21	ConcreteR	Y
22	ConcreteU	Y
23	ConcreteC	Y


51	Train		N
52	TreeBottom	N
53	TreeTop		N
54	Crate		N
55	ConcreteBlock	N
56	TrainTrack	N
57	TrashBin	N
58	BrickWall	N
59	CarLeft		N
60	CarRight	N
61	Car2Left	N
62	Car2Right	N
63	SmallTree	N
64	SmallTree2	N
65	SmallTree3	N
66	TreeTrunk	N
67	BenchLeft	N
68	BenchRight	N

